People,Families,Locations,Events,TextChunk
Nathan Hoang,Operations,"Tokyo, Japan",Completed Emotional Intelligence Training,"Nathan Hoang is part of the Operations team, based in Tokyo, Japan, and recently completed emotional intelligence training."
Nathan Luong,Human Resources,"Bangalore, India",Finished Data Analytics with Python Course,"Nathan Luong is part of the Human Resources team, based in Bangalore, India, and recently finished data analytics with python course."
Hannah Ly,Finance,Singapore,Participated in Regional Hackathon 2024,"Hannah Ly is part of the Finance team, based in Singapore, and recently participated in regional hackathon 2024."
Diana Ngo,Marketing,"Berlin, Germany",Participated in Regional Hackathon 2024,"Diana Ngo is part of the Marketing team, based in Berlin, Germany, and recently participated in regional hackathon 2024."
Victor Do,Finance,"Beijing, China",Spoke at the Annual Finance Forum,"Victor Do is part of the Finance team, based in Beijing, China, and recently spoke at the annual finance forum."
Nathan Ta,Engineering,"Beijing, China",Joined Team Building Offsite in Da Nang,"Nathan Ta is part of the Engineering team, based in Beijing, China, and recently joined team building offsite in da nang."
Fiona Ton,Customer Success,"Sydney, Australia",Joined International Business Roundtable,"Fiona Ton is part of the Customer Success team, based in Sydney, Australia, and recently joined international business roundtable."
Julia Luong,Management,"Beijing, China",Spoke at the Annual Finance Forum,"Julia Luong is part of the Management team, based in Beijing, China, and recently spoke at the annual finance forum."
Alice Chau,Operations,"Sydney, Australia",Joined Team Building Offsite in Da Nang,"Alice Chau is part of the Operations team, based in Sydney, Australia, and recently joined team building offsite in da nang."
Olivia Tran,Customer Success,"London, UK",Volunteered at Community Tech Fair,"Olivia Tran is part of the Customer Success team, based in London, UK, and recently volunteered at community tech fair."
Hannah Dang,Human Resources,"Tokyo, Japan",Attended UX/UI Design Masterclass,"Hannah Dang is part of the Human Resources team, based in Tokyo, Japan, and recently attended ux/ui design masterclass."
Victor Bui,Customer Success,"New Delhi, India",Finished Data Analytics with Python Course,"Victor Bui is part of the Customer Success team, based in New Delhi, India, and recently finished data analytics with python course."
Fiona Tran,Finance,"Kuala Lumpur, Malaysia",Spoke at the Annual Finance Forum,"Fiona Tran is part of the Finance team, based in Kuala Lumpur, Malaysia, and recently spoke at the annual finance forum."
George Tran,Human Resources,"Jakarta, Indonesia",Joined Team Building Offsite in Da Nang,"George Tran is part of the Human Resources team, based in Jakarta, Indonesia, and recently joined team building offsite in da nang."
Charlie Do,Engineering,"Melbourne, Australia",Completed Emotional Intelligence Training,"Charlie Do is part of the Engineering team, based in Melbourne, Australia, and recently completed emotional intelligence training."
Alice Ngo,Customer Success,"Berlin, Germany",Volunteered at Community Tech Fair,"Alice Ngo is part of the Customer Success team, based in Berlin, Germany, and recently volunteered at community tech fair."
Samuel Ly,Human Resources,"London, UK",Attended AI for Business Leaders Webinar,"Samuel Ly is part of the Human Resources team, based in London, UK, and recently attended ai for business leaders webinar."
Paul Dang,Finance,"Seoul, South Korea",Attended Agile Project Management Workshop,"Paul Dang is part of the Finance team, based in Seoul, South Korea, and recently attended agile project management workshop."
Nathan Le,Finance,"Paris, France",Completed Leadership Training Bootcamp,"Nathan Le is part of the Finance team, based in Paris, France, and recently completed leadership training bootcamp."
George Tran,Engineering,"Mumbai, India",Joined Cross-Cultural Communication Workshop,"George Tran is part of the Engineering team, based in Mumbai, India, and recently joined cross-cultural communication workshop."
Nathan Chau,Marketing,"New Delhi, India",Completed Advanced Cybersecurity Training,"Nathan Chau is part of the Marketing team, based in New Delhi, India, and recently completed advanced cybersecurity training."
Alice Phan,Management,"Melbourne, Australia",Presented at Machine Learning Meetup,"Alice Phan is part of the Management team, based in Melbourne, Australia, and recently presented at machine learning meetup."
Paul Nguyen,Customer Success,"Kuala Lumpur, Malaysia",Completed Advanced Cybersecurity Training,"Paul Nguyen is part of the Customer Success team, based in Kuala Lumpur, Malaysia, and recently completed advanced cybersecurity training."
George Trinh,Operations,"Jakarta, Indonesia",Completed Leadership Training Bootcamp,"George Trinh is part of the Operations team, based in Jakarta, Indonesia, and recently completed leadership training bootcamp."
Tina Dang,Sales,"Bangalore, India",Engaged in Blockchain for Finance Webinar,"Tina Dang is part of the Sales team, based in Bangalore, India, and recently engaged in blockchain for finance webinar."
Olivia Hoang,Human Resources,"London, UK",Completed Advanced Cybersecurity Training,"Olivia Hoang is part of the Human Resources team, based in London, UK, and recently completed advanced cybersecurity training."
Rachel Hoang,Customer Success,"Hanoi, Vietnam",Finished Data Analytics with Python Course,"Rachel Hoang is part of the Customer Success team, based in Hanoi, Vietnam, and recently finished data analytics with python course."
Charlie Trinh,Operations,"London, UK",Participated in Regional Hackathon 2024,"Charlie Trinh is part of the Operations team, based in London, UK, and recently participated in regional hackathon 2024."
Diana Le,Data Science,"Manila, Philippines",Engaged in Blockchain for Finance Webinar,"Diana Le is part of the Data Science team, based in Manila, Philippines, and recently engaged in blockchain for finance webinar."
Quinn Chau,Engineering,"Manila, Philippines",Finished Data Analytics with Python Course,"Quinn Chau is part of the Engineering team, based in Manila, Philippines, and recently finished data analytics with python course."
Charlie Truong,Data Science,"Berlin, Germany",Engaged in Blockchain for Finance Webinar,"Charlie Truong is part of the Data Science team, based in Berlin, Germany, and recently engaged in blockchain for finance webinar."
Samuel Le,Operations,"Ho Chi Minh City, Vietnam",Completed Advanced Cybersecurity Training,"Samuel Le is part of the Operations team, based in Ho Chi Minh City, Vietnam, and recently completed advanced cybersecurity training."
Olivia Hoang,Data Science,"Sydney, Australia",Completed Leadership Training Bootcamp,"Olivia Hoang is part of the Data Science team, based in Sydney, Australia, and recently completed leadership training bootcamp."
Tina Tran,Legal,"Manila, Philippines",Attended Agile Project Management Workshop,"Tina Tran is part of the Legal team, based in Manila, Philippines, and recently attended agile project management workshop."
Alice Ta,Customer Success,"Jakarta, Indonesia",Joined International Business Roundtable,"Alice Ta is part of the Customer Success team, based in Jakarta, Indonesia, and recently joined international business roundtable."
Bob Ton,Finance,"Bangalore, India",Completed Leadership Training Bootcamp,"Bob Ton is part of the Finance team, based in Bangalore, India, and recently completed leadership training bootcamp."
Samuel Hoang,Sales,Singapore,Presented at Internal Innovation Day,"Samuel Hoang is part of the Sales team, based in Singapore, and recently presented at internal innovation day."
Fiona Truong,Engineering,"Mumbai, India",Spoke at the Annual Finance Forum,"Fiona Truong is part of the Engineering team, based in Mumbai, India, and recently spoke at the annual finance forum."
Edward Luong,Data Science,"Shanghai, China",Attended Agile Project Management Workshop,"Edward Luong is part of the Data Science team, based in Shanghai, China, and recently attended agile project management workshop."
Quinn Trinh,Marketing,"Paris, France",Attended UX/UI Design Masterclass,"Quinn Trinh is part of the Marketing team, based in Paris, France, and recently attended ux/ui design masterclass."
Victor Nguyen,Human Resources,"Jakarta, Indonesia",Completed AWS Cloud Practitioner Certification,"Victor Nguyen is part of the Human Resources team, based in Jakarta, Indonesia, and recently completed aws cloud practitioner certification."
Julia Truong,Operations,"Sydney, Australia",Completed Emotional Intelligence Training,"Julia Truong is part of the Operations team, based in Sydney, Australia, and recently completed emotional intelligence training."
Paul Le,Sales,"New Delhi, India",Completed AWS Cloud Practitioner Certification,"Paul Le is part of the Sales team, based in New Delhi, India, and recently completed aws cloud practitioner certification."
Nathan Ta,Operations,"Berlin, Germany",Volunteered at Community Tech Fair,"Nathan Ta is part of the Operations team, based in Berlin, Germany, and recently volunteered at community tech fair."
George Chau,Product,"Kuala Lumpur, Malaysia",Joined International Business Roundtable,"George Chau is part of the Product team, based in Kuala Lumpur, Malaysia, and recently joined international business roundtable."
Fiona Luong,Operations,"Sydney, Australia",Completed Leadership Training Bootcamp,"Fiona Luong is part of the Operations team, based in Sydney, Australia, and recently completed leadership training bootcamp."
Diana Vu,Finance,"Ho Chi Minh City, Vietnam",Participated in Regional Hackathon 2024,"Diana Vu is part of the Finance team, based in Ho Chi Minh City, Vietnam, and recently participated in regional hackathon 2024."
Edward Truong,Management,"Ho Chi Minh City, Vietnam",Completed Advanced Cybersecurity Training,"Edward Truong is part of the Management team, based in Ho Chi Minh City, Vietnam, and recently completed advanced cybersecurity training."
George Truong,Management,"Melbourne, Australia",Completed Leadership Training Bootcamp,"George Truong is part of the Management team, based in Melbourne, Australia, and recently completed leadership training bootcamp."
George Vu,Customer Success,"Ho Chi Minh City, Vietnam",Spoke at the Annual Finance Forum,"George Vu is part of the Customer Success team, based in Ho Chi Minh City, Vietnam, and recently spoke at the annual finance forum."
